Task 1: Move the apple from the plate in the fridge to the bowl, then place the bowl with the apple into the microwave.
1. fridge close | microwave close | cabinet close | plate in-fridge | bowl on-table | pan in-cabinet | apple on-plate | pork on-plate | fish on-pan
2. fridge open | microwave close | cabinet close | plate in-fridge | bowl on-table | pan in-cabinet | apple on-plate | pork on-plate | fish on-pan
3. fridge open | microwave close | cabinet close | plate in-hand | bowl on-table | pan in-cabinet | apple on-plate | pork on-plate | fish on-pan
4. fridge open | microwave close | cabinet close | plate on-table | bowl on-table | pan in-cabinet | apple on-plate | pork on-plate | fish on-pan
5. fridge close | microwave close | cabinet close | plate on-table | bowl on-table | pan in-cabinet | apple on-plate | pork on-plate | fish on-pan
6. fridge close | microwave close | cabinet close | plate on-table | bowl on-table | pan in-cabinet | apple in-hand | pork on-plate | fish on-pan
7. fridge close | microwave close | cabinet close | plate on-table | bowl on-table | pan in-cabinet | apple in-bowl | pork on-plate | fish on-pan
8. fridge close | microwave open | cabinet close | plate on-table | bowl on-table | pan in-cabinet | apple in-bowl | pork on-plate | fish on-pan
9. fridge close | microwave open | cabinet close | plate on-table | bowl in-hand | pan in-cabinet | apple in-bowl | pork on-plate | fish on-pan
10. fridge close | microwave open | cabinet close | plate on-table | bowl in-microwave | pan in-cabinet | apple in-bowl | pork on-plate | fish on-pan
11. fridge close | microwave close | cabinet close | plate on-table | bowl in-microwave | pan in-cabinet | apple in-bowl | pork on-plate | fish on-pan

Task 2: Move pork from the plate to the pan, then store the pan in the cabinet
1. fridge close | microwave close | cabinet close | plate on-table | bowl on-table | pan in-cabinet | apple on-plate | pork on-plate | fish on-pan
2. fridge close | microwave close | cabinet open | plate on-table | bowl on-table | pan in-cabinet | apple on-plate | pork on-plate | fish on-pan
3. fridge close | microwave close | cabinet open | plate on-table | bowl on-table | pan in-hand | apple on-plate | pork on-plate | fish on-pan
4. fridge close | microwave close | cabinet open | plate on-table | bowl on-table | pan on-table | apple on-plate | pork on-plate | fish on-pan
5. fridge close | microwave close | cabinet open | plate on-table | bowl on-table | pan on-table | apple on-plate | pork in-hand | fish on-pan
6. fridge close | microwave close | cabinet open | plate on-table | bowl on-table | pan on-table | apple on-plate | pork in-pan | fish on-pan
7. fridge close | microwave close | cabinet open | plate on-table | bowl on-table | pan in-hand | apple on-plate | pork in-pan | fish on-pan
8. fridge close | microwave close | cabinet open | plate on-table | bowl on-table | pan in-cabinet | apple on-plate | pork in-pan | fish on-pan
9. fridge close | microwave close | cabinet close | plate on-table | bowl on-table | pan in-cabinet | apple on-plate | pork in-pan | fish on-pan

Task 3: Move the fish from the pan to the bowl, then store the bowl in the fridge
1. fridge close | microwave close | cabinet close | plate on-table | bowl on-table | pan in-cabinet | apple on-plate | pork on-plate | fish on-pan
2. fridge close | microwave close | cabinet open | plate on-table | bowl on-table | pan in-cabinet | apple on-plate | pork on-plate | fish on-pan
3. fridge close | microwave close | cabinet open | plate on-table | bowl on-table | pan in-hand | apple on-plate | pork on-plate | fish on-pan
4. fridge close | microwave close | cabinet open | plate on-table | bowl on-table | pan on-table | apple on-plate | pork on-plate | fish on-pan
5. fridge close | microwave close | cabinet open | plate on-table | bowl on-table | pan on-table | apple on-plate | pork on-plate | fish in-hand
6. fridge close | microwave close | cabinet open | plate on-table | bowl on-table | pan on-table | apple on-plate | pork on-plate | fish in-bowl
7. fridge close | microwave close | cabinet open | plate on-table | bowl in-hand | pan on-table | apple on-plate | pork on-plate | fish in-bowl
